date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-04-21,7000.0,7180.0,6790.0,6924.0,508763284293,73475326,56160,1000.0,7110.0
2025-04-22,7120.0,7120.0,6720.0,6800.0,820073328750,120557738,114748,6924.0,6750.0
2025-04-23,6720.0,6720.0,6600.0,6630.0,299170142990,45133647,34787,6800.0,6600.0
2025-04-26,6550.0,6790.0,6440.0,6540.0,283081727650,43284987,31710,6630.0,6480.0
2025-04-27,6370.0,6730.0,6370.0,6640.0,252987969560,38088441,17768,6540.0,6730.0
2025-04-28,6800.0,6830.0,6730.0,6810.0,132548476830,19476908,10694,6640.0,6830.0
2025-04-29,6880.0,7010.0,6830.0,6990.0,143427578320,20508357,7125,6810.0,7010.0
2025-04-30,7170.0,7190.0,7020.0,7190.0,104339819160,14517259,4840,6990.0,7190.0
2025-05-03,6980.0,7150.0,6980.0,6980.0,209366491960,29988291,4170,7190.0,6980.0
2025-05-04,6900.0,7100.0,6800.0,6970.0,120123165600,17240757,8381,6980.0,6860.0
2025-05-05,6940.0,7070.0,6770.0,6860.0,138880832050,20256581,7493,6970.0,6780.0
2025-05-06,6800.0,6910.0,6660.0,6740.0,75987991610,11269775,5687,6860.0,6750.0
2025-05-07,6800.0,6870.0,6710.0,6800.0,55628618170,8185317,3861,6740.0,6730.0
2025-05-10,6600.0,6770.0,6600.0,6620.0,61745529270,9329340,3432,6800.0,6600.0
2025-05-11,6470.0,6600.0,6430.0,6450.0,61711427050,9571411,4060,6620.0,6430.0
2025-05-12,6560.0,6640.0,6560.0,6640.0,53704336650,8092374,3197,6450.0,6640.0
2025-05-13,6640.0,6770.0,6480.0,6560.0,57311299700,8739072,5488,6640.0,6480.0
2025-05-14,6430.0,6540.0,6380.0,6430.0,34787309370,5413700,2742,6560.0,6480.0
2025-05-17,6500.0,6540.0,6250.0,6350.0,32257787030,5083967,2452,6430.0,6270.0
2025-05-18,6350.0,6420.0,6250.0,6330.0,34165328330,5397966,2033,6350.0,6310.0
2025-05-19,6320.0,6350.0,6160.0,6230.0,44537286710,7151511,2891,6330.0,6200.0
2025-05-20,6300.0,6300.0,6050.0,6100.0,41519436580,6806492,3163,6230.0,6050.0
2025-05-21,5920.0,6000.0,5920.0,5940.0,34123314940,5744800,5131,6100.0,5940.0
2025-05-24,5990.0,6090.0,5820.0,5910.0,23100441480,3907425,1948,5940.0,5920.0
2025-05-25,5900.0,5920.0,5740.0,5790.0,25437584000,4395219,1442,5910.0,5760.0
2025-05-26,5750.0,5850.0,5660.0,5720.0,27588236240,4822266,1621,5790.0,5780.0
2025-05-27,5860.0,5890.0,5780.0,5880.0,25061303670,4258755,837,5720.0,5890.0
2025-05-28,6050.0,6050.0,5950.0,6050.0,37957911480,6275375,937,5880.0,6050.0
2025-05-31,6220.0,6230.0,6110.0,6220.0,41123381840,6609545,1604,6050.0,6230.0
2025-06-01,6230.0,6280.0,6040.0,6060.0,44228699750,7299591,1941,6220.0,6050.0
2025-06-02,6080.0,6110.0,5950.0,6050.0,17642817560,2915398,1681,6060.0,6070.0
2025-06-03,6000.0,6000.0,5870.0,5890.0,14603664970,2477491,1843,6050.0,5930.0
2025-06-07,5910.0,5910.0,5720.0,5730.0,34555192060,6034364,1208,5890.0,5720.0
2025-06-08,5680.0,5900.0,5630.0,5860.0,65264976110,11133739,1754,5730.0,5900.0
2025-06-09,6000.0,6030.0,5920.0,6030.0,31334967240,5200586,787,5860.0,6030.0
2025-06-10,6090.0,6210.0,6050.0,6200.0,33616985860,5418270,637,6030.0,6210.0
2025-06-11,6380.0,6380.0,6270.0,6370.0,86400080410,13555334,1415,6200.0,6380.0
2025-06-28,6180.0,6180.0,6180.0,6310.0,4399603800,711910,13,6370.0,6180.0
2025-06-29,6130.0,6130.0,6130.0,6130.0,15123745970,2467169,44,6310.0,6130.0
2025-06-30,5950.0,5970.0,5950.0,5950.0,139095633830,23376719,1525,6130.0,5950.0
2025-07-01,5780.0,5780.0,5780.0,5780.0,20274540680,3507706,430,5950.0,5780.0
2025-07-02,5630.0,5890.0,5610.0,5760.0,19922694150,3458934,1794,5780.0,5850.0
2025-07-07,5770.0,5900.0,5740.0,5770.0,17935902340,3105944,967,5760.0,5770.0
2025-07-08,5940.0,5940.0,5610.0,5760.0,9976782500,1733286,914,5770.0,5770.0
2025-07-09,5770.0,5800.0,5660.0,5720.0,13521185220,2365089,756,5760.0,5770.0
2025-07-13,5710.0,5890.0,5550.0,5700.0,4929430750,868806,293,5720.0,5880.0
2025-07-14,5760.0,5840.0,5730.0,5730.0,7658945520,1328266,791,5700.0,5770.0
2025-07-15,5820.0,5850.0,5700.0,5780.0,59514488710,10297141,1311,5730.0,5830.0
2025-07-16,5870.0,5940.0,5830.0,5820.0,5978287640,1017360,593,5780.0,5900.0
2025-07-19,5810.0,5990.0,5810.0,5980.0,35250807650,5897928,775,5820.0,5930.0
2025-07-20,5960.0,6150.0,5920.0,6100.0,27195452500,4458642,775,5980.0,6040.0
2025-07-21,6100.0,6160.0,5940.0,6040.0,10142576950,1689018,634,6100.0,6000.0
2025-07-22,6020.0,6090.0,5860.0,5970.0,12300796750,2066611,567,6040.0,5920.0
2025-07-23,5810.0,5860.0,5800.0,5800.0,19127220740,3295400,726,5970.0,5820.0
