date,open,high,low,adjClose,value,volume,count,yesterday,close
2025-05-21,2429.0,2429.0,2429.0,2429.0,1190203929929,489997501,1239742,1000.0,2429.0
2025-05-24,2501.0,2501.0,2501.0,2501.0,36070547450,14422450,3867,2429.0,2501.0
2025-05-25,2576.0,2576.0,2576.0,2576.0,37187960320,14436320,3771,2501.0,2576.0
2025-05-26,2653.0,2653.0,2653.0,2653.0,38717115283,14593711,4155,2576.0,2653.0
2025-05-27,2732.0,2732.0,2732.0,2732.0,40981188420,15000435,5166,2653.0,2732.0
2025-05-28,2813.0,2813.0,2813.0,2813.0,133394600693,47420761,93143,2732.0,2813.0
2025-06-03,3310.0,3409.0,3211.0,3269.0,894775711056,273724509,152062,2528.0,3211.0
2025-06-07,3241.0,3367.0,3171.0,3210.0,769399504414,239657905,258905,3269.0,3171.0
2025-06-08,3250.0,3260.0,3114.0,3165.0,314794139611,99463110,109518,3210.0,3122.0
2025-06-09,3120.0,3245.0,3120.0,3182.0,221305001476,69555810,52320,3165.0,3159.0
2025-06-10,3220.0,3232.0,3123.0,3169.0,164451506155,51888253,27190,3182.0,3167.0
2025-06-11,3168.0,3210.0,3089.0,3136.0,105354786334,33591713,20794,3169.0,3095.0
2025-06-28,3042.0,3042.0,3042.0,3042.0,33999104646,11176563,139,3136.0,3042.0
2025-06-29,2951.0,2951.0,2951.0,2951.0,46799982775,15859025,172,3042.0,2951.0
2025-06-30,2863.0,2863.0,2863.0,2863.0,44711356480,15616960,211,2951.0,2863.0
2025-07-01,2778.0,2778.0,2778.0,2778.0,39193012968,14108356,216,2863.0,2778.0
2025-07-02,2695.0,2825.0,2695.0,2721.0,311895420235,114640788,27367,2778.0,2785.0
2025-07-07,2785.0,2785.0,2663.0,2690.0,91828668963,34139625,13763,2721.0,2672.0
2025-07-08,2641.0,2661.0,2610.0,2611.0,32753301245,12544168,3377,2690.0,2610.0
2025-07-09,2534.0,2536.0,2533.0,2533.0,43151558170,17034721,5891,2611.0,2533.0
2025-07-12,2605.0,2607.0,2533.0,2564.0,26296940753,10257729,10714,2533.0,2542.0
2025-07-15,2640.0,2640.0,2640.0,2612.0,9870859680,3738962,2861,2564.0,2640.0
2025-07-16,2690.0,2690.0,2690.0,2678.0,13566861670,5043443,5566,2612.0,2690.0
2025-07-19,2758.0,2758.0,2758.0,2758.0,16157754032,5858504,4195,2678.0,2758.0
2025-07-20,2840.0,2840.0,2840.0,2840.0,37033696560,13040034,4459,2758.0,2840.0
2025-07-21,2841.0,2879.0,2780.0,2827.0,82857560665,29312599,15879,2840.0,2802.0
2025-07-22,2844.0,2870.0,2792.0,2817.0,54143854571,19219435,6787,2827.0,2793.0
2025-07-23,2746.0,2844.0,2733.0,2778.0,50863009310,18308122,5502,2817.0,2782.0
2025-07-26,2730.0,2760.0,2695.0,2698.0,39702173412,14716120,4910,2778.0,2695.0
2025-07-27,2618.0,2660.0,2618.0,2620.0,30194520933,11525826,3903,2698.0,2618.0
2025-07-28,2542.0,2559.0,2542.0,2542.0,59880298479,23552505,4237,2620.0,2542.0
2025-07-29,2473.0,2519.0,2473.0,2498.0,18399689784,7367171,4280,2542.0,2501.0
2025-07-30,2470.0,2572.0,2470.0,2560.0,23619987528,9226497,4380,2498.0,2572.0
2025-08-02,2618.0,2636.0,2575.0,2633.0,43770678437,16621543,4145,2560.0,2636.0
2025-08-03,2690.0,2711.0,2604.0,2645.0,25881532281,9785460,4322,2633.0,2604.0
2025-08-04,2600.0,2650.0,2566.0,2599.0,21793437953,8386497,3805,2645.0,2616.0
2025-08-05,2597.0,2672.0,2555.0,2573.0,20139365252,7827793,3355,2599.0,2555.0
2025-08-06,2498.0,2535.0,2498.0,2550.0,5934548984,2359573,2650,2573.0,2522.0
2025-08-09,2500.0,2626.0,2500.0,2618.0,14167349487,5399981,2738,2550.0,2626.0
2025-08-10,2688.0,2688.0,2582.0,2627.0,5240528768,1981547,1869,2618.0,2593.0
2025-08-11,2555.0,2672.0,2555.0,2603.0,10555402962,4071152,2621,2627.0,2604.0
